Latitude,Longitude,Free Bikes
43.665269,-79.319796,15
43.67142,-79.445947,4
43.666224,-79.317693,4
43.653236,-79.376716,1
43.663722,-79.380288,17
43.657763,-79.389165,16
43.656729,-79.382736,11
43.664467,-79.414783,13
43.675492,-79.388858,17
43.674991,-79.396273,2
43.671944,-79.387778,2
43.662365,-79.351104,13
43.646144,-79.377962,23
43.663993,-79.358534,0
43.657266,-79.374756,14
43.6672144,-79.3452697,9
43.673939,-79.441159,0
43.657991,-79.340075,8
43.66745,-79.329408,18
43.672453,-79.338259,5
43.6592088,-79.3348396,5
43.689211,-79.35438,15
43.656927,-79.378497,8
43.658295,-79.372346,2
43.6940155,-79.2889842,3
43.6809164,-79.4229684,0
43.6910667,-79.39535,2
43.6975969,-79.39654,9
43.639832,-79.395954,15
43.667333,-79.399429,0
43.6480008,-79.383177,1
43.656518,-79.389099,6
43.687999,-79.38906,1
43.6563889,-79.45166666666667,4
43.639179,-79.399595,15
43.6616667,-79.40138888888889,1
43.66666667,-79.45833333333334,1
43.657192,-79.452559,2
43.6576,-79.4032,9
43.660694,-79.379052,9
43.636533,-79.395854,23
43.659777,-79.382767,16
43.643667,-79.380414,4
43.666233,-79.373327,0
43.640114,-79.393249,3
43.653766,-79.4016759,6
43.6538888888889,-79.4413888888889,1
43.6508333333333,-79.4430555555556,4
43.651238,-79.43868,3
43.6544915,-79.422634,1
43.6543604,-79.4655296,10
43.635932,-79.465083,2
43.654501,-79.460053,12
43.634896,-79.467763,9
43.6314,-79.4304,18
43.636731,-79.444966,15
43.6534268,-79.4512787,6
43.7112153,-79.39894,1
43.655227,-79.39201,12
43.685167,-79.34962,8
43.6704537,-79.39014,3
43.6691099,-79.38551,2
43.641389,-79.404444,2
43.643834,-79.396649,3
43.6545174,-79.3895315,9
43.665846,-79.404998,6
43.6461,-79.3895,5
43.671349,-79.29451,11
43.667208,-79.312315,3
43.669328,-79.288949,14
43.672571,-79.289,13
43.638497,-79.39192,13
43.662771,-79.315223,8
43.66852,-79.363525,9
43.652473,-79.401456,3
43.643975,-79.419576,18
43.651318,-79.36023,18
43.656094,-79.381484,22
43.670318,-79.405181,0
43.676667,-79.416111,3
43.640634,-79.435841,16
43.639444,-79.423611,22
43.67,-79.42083333333333,9
43.671389,-79.416389,7
43.68,-79.42500000000001,0
43.6394444,-79.42527777777778,15
43.675791,-79.40698,3
43.675556,-79.410278,1
43.674444,-79.414722,1
43.671513,-79.408317,12
43.6783213,-79.35822,6
43.6848652,-79.356602,7
43.68395,-79.347046,8
43.690537,-79.341307,1
43.704461,-79.423122,0
43.659195,-79.329196,3
43.651885,-79.3649,3
43.682645,-79.377557,3
43.6475,-79.43305555555555,3
43.6494896,-79.393535,3
43.671526,-79.44874,1
43.6452972,-79.3827914,6
43.6452091,-79.3960744,4
43.6555556,-79.43361111111112,9
43.678077,-79.390328,9
43.645665,-79.415345,17
43.6493472,-79.42668,6
43.660207,-79.361275,19
43.648655,-79.367061,27
43.648711,-79.389728,15
43.6605603,-79.3437663,10
43.6561111,-79.36138888888888,3
43.652219,-79.354455,26
43.650279,-79.356832,13
43.649147,-79.395504,10
43.643795,-79.375413,17
43.662085,-79.397735,5
43.659575,-79.365769,6
43.65205,-79.362198,16
43.668456,-79.393899,18
43.639052,-79.399792,17
43.6448617,-79.42822,9
43.6409,-79.432837,3
43.660414,-79.415646,7
43.661975,-79.407896,9
43.65905,-79.422988,5
